Norway ,40,80,183,266,361,777,,,,,,,,,,938,873,894,1004,1058,1047,1029,1040,1051,1058,1160,1193,1214,1200,1236,1305,1345,1305,1243,1287,1331,1429,1429,1509,1567,1669,1658,1585,1665,1727,1814,1781,1949,1974,2072,2185,2226,2280,2278,2366,2360,2401,2558,2618,2717,2797,2876,2898,2796,2821,2912,2939,2934,2923,2975,3002,3019,3057,3200,3323,3414,3447,3513,3606,3628,3672,3776,3976,4009,4133,4185,4289,4355,4328,4336,4369,4550,4748,4899,5006,5211,5414,5681,5988,6111,6380,6627,6024,5782,6773,7217,6518,7217,7412,7410,7865,7983,8285,8650,9468,10181,9385,9852,10099,10456,10977,11718,12239,12514,13118,12005,12296,11818,11583,10978,12302,13557,15395,16466,16905,17728,18688,19347,20116,21131,21597,22750,23436,23436,24424,25798,27415,28187,29265,30722,32353,33577,35675,36476,38122,38879,40874,42956,44852,46732,49175,52058,54280,56173,58690,61595,62190,62320,64551,68364,71919,74507,76039,76006,76733,78333,81166,83844,86129,90656,94607,99577,104744,107498,109792,112907,115985,117268,118591
Sweden ,80,160,382,626,1231,3098,3255,3220,3342,3463,3498,3185,3307,3603,3463,3394,3255,3463,3638,3638,3725,3777,3638,3429,3777,3864,3742,3742,3899,4247,4020,3933,4177,4438,4595,4490,4334,4351,4334,4769,5013,4856,4995,5395,5656,5743,5413,5709,5918,6283,6057,6109,6005,6161,6474,6927,7048,7379,8058,8371,8005,8527,8249,8197,8058,8440,8458,8806,8893,9137,9102,9067,9102,9345,9833,9972,10094,10303,10320,10529,11051,11695,12112,12374,12652,13104,12965,12948,13905,14044,14201,15123,15454,15419,15315,16237,16637,17107,17403,17246,17246,17020,14932,14706,15558,16463,15854,17351,18273,18847,19544,20640,21284,22293,23651,24138,23268,22641,23076,24834,26418,27949,29272,29759,31813,30873,31395,33309,34789,35972,36947,41001,42011,43316,44900,47269,49148,49845,51237,53395,54944,57032,59591,59887,61714,64986,68710,71599,75411,80562,83643,85383,88272,91475,96056,102275,103241,105604,109794,113306,116198,117428,115553,117577,122092,124130,124113,125358,127555,132717,135277,138381,142733,145946,149415,151451,149816,148045,145091,151133,157259,159290,163173,169121,176864,184517,186448,190133,193352
Switzerland ,128,123,411,750,1068,2165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3541,3633,3863,3729,3314,3873,3869,4200,5298,5035,4379,4691,5049,5047,4778,5183,5135,4514,5333,5836,5581,5964,5684,5844,6550,7275,7109,6416,6535,6517,6955,7078,6870,6887,7666,8268,8593,8554,8757,8766,9389,8856,9627,10014,9783,10861,11142,11716,11927,12513,12649,12511,12801,12554,13223,13543,14972,15110,14873,15648,16177,16530,16701,16483,16496,16658,16606,14790,14737,15707,16726,16311,17890,18925,19631,21065,22120,23307,24609,25466,25301,24246,23422,24593,24642,24543,24626,25796,26785,26752,27032,26851,26175,25944,26571,34202,36543,40944,41768,40631,42545,45990,46369,48001,50705,54117,57710,60002,58732,62425,66793,72200,75661,79370,83541,86195,88305,91008,94272,99584,105935,110253,113781,117251,118957,110294,108745,111392,111847,114634,119909,121802,120051,120659,124311,128561,130653,131614,135709,141599,146900,145682,145721,145387,146937,147495,148264,151092,155313,157352,163035,164733,165237,164773
United Kingdom ,320,800,2815,6007,10709,36232,,,,,,,,,,42228,44249,43800,44249,46046,48517,50314,49640,52336,54806,53234,52111,50988,51886,55031,57951,61770,62219,62893,64016,63342,66037,67160,69631,71428,71203,76370,77717,77942,79964,81760,84007,84680,85354,87600,90296,91644,90745,93665,94339,100180,105570,105795,108266,110063,112758,113881,115004,115454,115004,120395,124663,128257,129155,129380,128706,130728,135894,141959,149596,150269,150269,146676,146676,156559,161500,168239,170485,178796,186208,184861,184861,189578,187556,188679,194295,200808,204627,196316,200808,207098,213162,216307,224618,226864,245058,250449,252695,254268,226640,212938,195642,205750,212264,221024,231806,223270,241240,244160,251348,249551,236747,238544,245507,261680,271788,284142,294025,297619,300539,330638,360737,369721,377807,362983,347035,331985,327044,337376,349955,347850,358234,357585,371646,386789,400850,405825,412315,411450,428107,452768,467694,472454,490625,516584,529996,540163,552277,574775,585207,599016,611705,633352,675941,666755,665984,680933,695699,720501,740370,728224,718733,729861,755779,774665,802000,837280,877143,920841,940908,944610,931716,933535,955305,997587,1026044,1054948,1089522,1123222,1155319,1199910,1227529,1249236,1280625
Total 12 Western Europe ,11146,8366,38450,56784,70988,142399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238152,,,,,,,,,,,,,,,,,,,,338978,345153,357986,361124,379869,388283,382277,386783,391866,384465,401281,408740,423127,431159,434917,437176,444964,458520,470921,483334,494760,496397,499181,510431,528319,541649,561070,567391,594060,616869,626021,625001,632324,647350,659105,677378,699149,727473,724338,747046,753693,788328,816658,840612,791234,806096,835774,810135,780647,721982,739301,736658,801915,792889,857937,905156,916591,958223,1001269,1028260,1011801,959263,929189,964158,1003467,1047242,1097689,1153359,1185395,1256625,1238016,1252128,1244198,1243593,1190012,1028632,967884,1032823,1109507,1203343,1286434,1360686,1408165,1483178,1564225,1664313,1737456,1815089,1856969,1952075,2082895,2186190,2286597,2385421,2524625,2623119,2714066,2801979,2946790,3108840,3240746,3340805,3471938,3660561,3729888,3700630,3856661,3960233,4073676,4228364,4289230,4295781,4327081,4406825,4518239,4631616,4760072,4885005,5071692,5234119,5276855,5366060,5435916,5426700,5583586,5723407,5817609,5965592,6129684,6290391,6515016,6624158,6680180,6733431
Ireland ,,,421,615,1377,6231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11891,,,,,,,,7841,7800,7760,7720,7680,7640,7845,8058,8294,8480,8716,8508,8294,8562,8812,9056,8716,8965,8955,9028,9135,9043,8991,8985,8912,9025,9196,9643,10148,10231,10488,10753,11043,11142,11432,11283,11266,11034,11481,12127,12706,13120,13741,14279,14528,14652,15521,16804,17815,18289,18923,20151,21103,22002,23246,23571,25506,27340,28180,29047,30013,30698,30624,31957,32943,32802,34331,36123,38223,41459,42259,43672,44848,47429,51999,56292,62867,68227,75542,82504,87604,92961,97077
Greece ,1100,400,433,725,795,1482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2484,,,,,,,,,,,,,,,,,,,,3218,,,,,,,,,,,,,,,,,,,,5280,,,,,,,,,,6704,,,,,,,,,,,,,8635,,,,,,,,11196,11565,11947,12341,12748,13169,13603,13864,14696,14342,13746,14912,15784,16173,16846,16907,19307,18901,18875,16183,13796,11588,9683,8129,6865,10284,13272,13936,14679,14489,15765,15878,18053,18615,20022,21731,23147,24218,25107,26195,28492,29562,32567,35243,38553,40907,43152,46027,50585,54609,58496,65775,68355,65868,69853,74296,76843,81989,85015,86505,86553,86895,87244,89645,92442,93941,93507,97670,101425,101452,104597,105329,103644,105717,107937,110482,114501,118353,122399,127880,133773,138912,145334
Portugal ,180,255,606,814,1638,3043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3524,3793,,,,3552,,,,,,3597,,,,3745,3887,4000,4042,4148,4219,4061,4179,4353,4282,4277,4177,4372,4375,4384,4367,4513,4655,4770,4934,5064,5343,5457,5523,5425,5671,5572,5548,5660,5587,5827,5908,6251,6469,6701,7037,6914,6954,7054,7148,6950,6997,7165,7052,7048,7225,7369,7494,7467,7520,7352,7397,7281,6913,7064,7411,7831,8788,9169,8828,9223,9163,10772,9732,10789,10656,11204,11422,12194,12714,12041,11124,12997,13084,13259,12396,13551,13369,14263,15079,14497,15635,16943,16894,17129,17615,18404,18428,19714,20660,21512,22451,23445,23753,25039,26711,28170,30040,31823,33921,36446,37929,40792,44421,45364,49498,52781,57011,63397,64122,61334,65566,69239,71189,75203,78655,79928,81634,81492,79961,82206,85610,91073,97894,102922,107427,112120,113341,111025,112096,116897,121143,126210,132198,137378,142753,145599,146369,144694
Spain ,1867,1800,4495,7029,7481,12299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16066,16311,17053,17192,17506,18391,17892,17489,17902,18700,19336,19595,19729,20190,20206,19586,20612,20566,18490,19073,19556,21104,24034,26156,23968,24670,25136,27701,26982,25492,27750,28462,28831,29480,29561,28774,28157,27765,28890,28823,28839,29495,31707,30597,30939,30668,28224,29659,31945,32457,33164,35471,34440,34600,34485,34005,35760,36885,38331,38998,37633,40332,40028,41653,41075,41746,43687,43150,42844,43112,46226,47370,49390,50028,51443,54627,54424,59140,59371,63570,61435,59871,61163,59966,62231,63482,49343,45272,45255,48856,53585,52726,55670,57724,60407,56326,58854,59823,59970,59583,61429,67533,73044,72806,78335,81457,88083,90901,94829,92651,94119,106187,118386,130477,143308,152794,164199,175227,185747,202472,214070,226319,245019,266896,286732,296824,309546,321868,332597,337333,344987,346768,352979,361902,367170,374627,386998,409027,431389,454166,474366,486443,490963,485899,497479,511197,523520,543758,568133,595109,625117,647273,664622,684537
Total 13 small WEC,140,104,199,250,311,628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,,,,,,,,,,,,,,,,,,,,1495,,,,,,,,,,,,,,,,,,,,2253,,,,,,,,,,2862,,,,,,,,,,,,,3843,3594,3673,3822,3732,3634,3446,3523,3346,3843,3780,4072,4278,4317,4503,4694,4810,4719,4462,4615,4470,4647,4837,5061,5311,5438,5743,5663,5753,5713,5729,5499,4798,4544,4801,5114,5517,5880,5746,6180,6436,6647,7001,7427,7752,7966,8279,8487,8876,9269,9756,10165,10877,11398,11862,12261,13144,13713,14651,15548,16452,16510,16005,17038,18095,19058,20007,20768,21257,21886,22385,23512,24313,25556,26754,28385,30000,31205,32342,33161,34633,35838,36899,38136,39918,41769,43639,46112,47553,50610,52322
